iter	Passed	Remaining
0	2628	260189
1	5275	258521
2	7997	258580
3	10863	260726
4	13682	259974
5	17073	267477
6	20616	273904
7	23336	268365
8	25898	261863
9	28517	256653
10	31189	252354
11	33742	247443
12	36577	244786
13	39273	241249
14	42024	238140
15	44774	235068
16	47407	231462
17	50110	228282
18	52776	224993
19	55565	222262
20	58234	219071
21	61418	217756
22	64362	215473
23	67298	213110
24	70290	210871
25	73319	208679
26	76346	206418
27	79208	203680
28	82277	201438
29	85488	199472
30	88629	197272
31	91519	194479
32	94405	191672
33	97652	189560
34	100762	187131
35	103669	184301
36	106775	181807
37	109808	179160
38	112837	176490
39	115793	173690
40	118763	170904
41	121715	168083
42	124838	165484
43	127916	162802
44	130824	159896
45	133824	157098
46	136867	154339
47	139818	151470
48	143171	149015
49	146217	146217
50	149697	143827
51	152770	141018
52	155776	138141
53	159062	135497
54	162173	132687
55	165139	129752
56	168374	127019
57	172077	124608
58	175141	121708
59	178083	118722
60	181059	115759
61	184023	112788
62	187006	109829
63	190064	106911
64	193026	103937
65	196042	100991
66	199148	98088
67	202354	95225
68	205526	92338
69	208536	89372
70	211841	86526
71	215108	83653
72	218232	80716
73	221190	77715
74	224189	74729
75	227410	71813
76	230528	68859
77	233428	65838
78	236567	62884
79	239763	59940
80	242891	56974
81	245885	53974
82	248872	50973
83	251737	47949
84	254614	44932
85	257642	41941
86	260591	38939
87	263964	35995
88	266948	32993
89	269931	29992
90	272881	26988
91	275817	23984
92	278910	20993
93	281874	17991
94	284895	14994
95	287845	11993
96	290796	8993
97	293731	5994
98	296596	2995
99	299519	0
