영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우,등수,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관람객,장르,등급,영화구분,러닝타임,권장연령
명량,https://www.kobis.or.kr/common/mast/movie/2014/07/7e00a486e94f4428b8b2e54313b5c510.jpg,명량.jpg,20129370,"장편 | 일반영화 | 사극, 액션 | 128분 20초 | 15세이상관람가 | 한국","필름,2D,4D",[주연] 최민식(이순신 ) | 류승룡(구루지마 ) | 조진웅(와키자카 ),1,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,1.35748E+11,17613682,33121225810,4163666,사극,15세이상관람가,일반영화,128분 20초,15세이상관람가
극한직업,https://www.kobis.or.kr/common/mast/movie/2019/01/dce9586f9f0748139af49fc0c445a2cd.jpg,극한직업.jpg,20182530,장편 | 일반영화 | 코미디 | 111분 0초 | 15세이상관람가 | 한국,2D,[주연] 류승룡(고반장) | 이하늬(장형사) | 진선규(마형사) | 이동휘(영호) | 공명(재훈),2,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,1.39648E+11,16264944,31858660536,3638287,코미디,15세이상관람가,일반영화,111분 0초,15세이상관람가
신과함께-죄와 벌,https://www.kobis.or.kr/common/mast/movie/2020/12/c21e96f35e3447018c1e37f721b85d18.jpg,신과함께-죄와 벌.jpg,20150976,"장편 | 일반영화 | 판타지, 드라마 | 139분 32초 | 12세이상관람가 | 한국","2D,4D",[주연] 하정우(강림) | 차태현(자홍) | 주지훈(해원맥) | 김향기(덕춘),3,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,1.15699E+11,14410754,27530825087,3346172,판타지,12세이상관람가,일반영화,139분 32초,12세이상관람가
국제시장,https://www.kobis.or.kr/common/mast/movie/2014/11/87fc696afd204b3db1aea0c56af601df.jpg,국제시장.jpg,20137048,장편 | 일반영화 | 드라마 | 126분 16초 | 12세이상관람가 | 한국,"필름,2D",[주연] 황정민(덕수) | 김윤진(영자) | 오달수(달구) | 정진영(덕수부),4,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,1.10828E+11,14245998,25842519330,3233946,드라마,12세이상관람가,일반영화,126분 16초,12세이상관람가
어벤져스: 엔드게임,https://www.kobis.or.kr/common/mast/movie/2019/03/6a30ec36083644b49de1d04ac021949e.jpg,어벤져스- 엔드게임.jpg,20184889,"장편 | 일반영화 | 액션, SF | 180분 57초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 로버트 다우니 주니어 | 크리스 에반스 | 마크 러팔로 | 크리스 헴스워스 | 스칼렛 요한슨 | 제레미 레너 | 돈 치들 | 폴 러드 | 브리 라슨 | 카렌 길런 | 브래들리 쿠퍼 | 조슈 브롤린,5,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,1.22183E+11,13934592,33577136860,3597963,액션,12세이상관람가,일반영화,180분 57초,12세이상관람가
겨울왕국 2,https://www.kobis.or.kr/common/mast/movie/2019/11/5658d961585b46dd8b05225665af2c5a.jpg,겨울왕국 2.jpg,20197803,장편 | 일반영화 | 애니메이션 | 103분 4초 | 전체관람가 | 미국,"2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 크리스틴 벨 | 이디나 멘젤 | 조시 게드 | 조나단 그로프,6,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,1.1481E+11,13747792,28824682580,3225974,애니메이션,전체관람가,일반영화,103분 4초,전체관람가
베테랑,https://www.kobis.or.kr/common/mast/movie/2015/07/3bd4c5b5ab3b419b90a96af5c15767a5.jpg,베테랑.jpg,20148048,"장편 | 일반영화 | 액션, 드라마 | 123분 41초 | 15세이상관람가 | 한국","필름,2D",[주연] 황정민(서도철) | 유아인(조태오) | 유해진(최 상무) | 오달수(오 팀장),7,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,1.05025E+11,13395400,26766369950,3290366,액션,15세이상관람가,일반영화,123분 41초,15세이상관람가
서울의 봄,https://www.kobis.or.kr/common/mast/movie/2023/11/2d4842b5ae044adfaa2769ab51542ab8.jpg,서울의 봄.jpg,20212866,장편 | 일반영화 | 드라마 | 141분 15초 | 12세이상관람가 | 한국,"2D,IMAX",[주연] 황정민(전두광) | 정우성(이태신) | 이성민(참모총장 정상호) | 박해준(9사단장 노태건) | 김성균(헌병감 김준엽),1,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,2023-11-22,개봉영화,장편,한국,2328,1.27924E+11,13127637,29336838704,2956510,드라마,12세이상관람가,일반영화,141분 15초,12세이상관람가
도둑들,https://www.kobis.or.kr/common/mast/movie/2012/12/0a6b6b179db142f8b5510b7f248de5b3.jpg,도둑들.jpg,20124034,"장편 | 일반영화 | 액션, 범죄 | 135분 0초 | 15세이상관람가 | 한국, 홍콩","필름,2D",[주연] 김윤석(마카오박) | 김혜수(팹시) | 이정재(뽀빠이) | 전지현(예니콜) | 임달화(첸) | 김해숙(씹던껌) | 오달수(앤드류) | 김수현(잠파노) | 이심결(줄리) | 증국상(조니),8,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,일반영화,135분 0초,15세이상관람가
7번방의 선물,https://www.kobis.or.kr/common/mast/movie/2012/12/adcbc8dfcf8d4b33b617df559b1f4072.jpg,7번방의 선물.jpg,20127593,"장편 | 일반영화 | 코미디, 드라마 | 127분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 류승룡(용구) | 박신혜(큰 예승) | 갈소원(어린 예승) | 오달수(방장) | 박원상(춘호) | 김정태(만범) | 정만식(봉식) | 김기천(서노인),9,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,일반영화,127분 0초,15세이상관람가
