영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
리틀 포레스트,https://www.kobis.or.kr/common/mast/movie/2018/01/bbafb8831d6649909ca950ee1d01fa39.jpg,리틀 포레스트.jpg,20170841,장편 | 일반영화 | 드라마 | 103분 28초 | 전체관람가 | 한국,2D,[주연] 김태리(혜원) | 류준열(재하 ) | 문소리 | 진기주(은숙 )
인디펜던스 데이 : 리써전스,https://www.kobis.or.kr/common/mast/movie/2016/06/e632ef9b86384bd8882303ad6c0823f9.jpg,인디펜던스 데이 - 리써전스.jpg,20150782,"장편 | 일반영화 | 액션, 어드벤처, SF | 119분 34초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 빌 풀만 | 리암 헴스워스 | 제프 골드블럼 | 비비카 A. 폭스 | 제시 어셔
토이 스토리 3,https://www.kobis.or.kr/upload/up_img/cleansing/77/mov_20100377_3.jpg,토이 스토리 3.jpg,20100377,"장편 | 일반영화 | 가족, 코미디, 판타지 | 102분 0초 | 전체관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 톰 행크스 | 조앤 쿠삭
어스,https://www.kobis.or.kr/common/mast/movie/2019/04/d3e31af432e0433db6b0a33bf9325101.jpg,어스.jpg,20185352,"장편 | 일반영화 | 공포(호러), 스릴러 | 116분 27초 | 15세이상관람가 | 미국","2D,IMAX",[주연] 루피타 뇽오 | 윈스턴 듀크 | 엘리자베스 모스 | 팀 헤이데커 | 야히아 압둘 마틴 2세 | 애나 디옵 | 에반 알렉스 | 샤하디 라이트 조셉 | 매디슨 커리 | 칼리 쉘든 | 노엘 쉘든 | 카라 헤이워드
차이나타운,https://www.kobis.or.kr/common/mast/movie/2015/04/91f527b6d5e840b482d7b9bb8c60d2ce.jpg,차이나타운.jpg,20149266,"장편 | 일반영화 | 범죄, 드라마 | 109분 48초 | 청소년관람불가 | 한국","필름,2D",[주연] 김혜수(엄마) | 김고은(일영)
스윙키즈,https://www.kobis.or.kr/common/mast/movie/2018/11/bd2ce7a23c864df4819fa87e80c81943.jpg,스윙키즈.jpg,20175547,장편 | 일반영화 | 드라마 | 133분 25초 | 12세이상관람가 | 한국,2D,[주연] 도경수 | 박혜수(양판래) | 자레드 그라임스 | 오정세(강병삼) | 김민호
부라더,https://www.kobis.or.kr/common/mast/movie/2017/09/b0ad034063e348738006f0256e8ea608.jpg,부라더.jpg,20172603,장편 | 일반영화 | 코미디 | 102분 3초 | 12세이상관람가 | 한국,2D,[주연] 마동석(석봉) | 이동휘 | 이하늬(오로라)
해무(海霧),https://www.kobis.or.kr/common/mast/movie/2014/07/2cd31b65e6914122a562412cdefa3a7e.jpg,해무(海霧).jpg,20134082,장편 | 일반영화 | 드라마 | 110분 48초 | 청소년관람불가 | 한국,"필름,2D",[주연] 김윤석 | 박유천(동식) | 한예리(홍매) | 이희준(창욱) | 문성근 | 김상호(갑판장 호영) | 유승목
브레이킹 던 part1,https://www.kobis.or.kr/upload/up_img/2011/06/mov_01A7I4_20110613172645_1.jpg,브레이킹 던 part1.jpg,20110905,"장편 | 일반영화 | 드라마, 판타지, 멜로/로맨스 | 117분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 로버트 패틴슨 | 크리스틴 스튜어트
새미의 어드벤쳐 2,https://www.kobis.or.kr/common/mast/movie/2012/12/0bd1a09b7b7449239ed24bdd547b413e.jpg,새미의 어드벤쳐 2.jpg,20126406,"장편 | 일반영화 | 애니메이션, 어드벤처 | 92분 0초 | 전체관람가 | 벨기에","필름,2D,3D,4D",[주연] 아이유(엘라) | 이기광(리키) | 김원효(빅D)
