,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
0,부탁 하나만 들어줘,https://www.kobis.or.kr/common/mast/movie/2018/11/06bc606e136e4a658ff3b978cc18dfdc.jpg,부탁 하나만 들어줘.jpg,20182082,"장편 | 예술영화 | 스릴러, 미스터리 | 116분 58초 | 청소년관람불가 | 미국",2D,[주연] 블레이크 라이블리 | 안나 켄드릭 | 헨리 골딩 | 앤드류 라넬스
1,데블,https://www.kobis.or.kr/upload/up_img/cleansing/69/mov_20101069_3.jpg,데블.jpg,20101069,장편 | 일반영화 | 공포(호러) | 80분 0초 | 15세이상관람가 | 미국,"필름,2D",[주연] 크리스 메시나(보든 형사) | 로건 마샬-그린(수리공) | 제니 오하라 | 보자나 노바코빅(젊은 여성) | 보킴 우드바인 (경비원) | 제프리 아렌드 | 제이콥 바르가스(라미레즈) | 맷 크레이븐
2,언힌지드,https://www.kobis.or.kr/common/mast/movie/2020/09/e7752a77e9b247faa67db2c577d2c808.jpg,언힌지드.jpg,20202684,"장편 | 일반영화 | 스릴러, 범죄 | 90분 19초 | 청소년관람불가 | 미국",2D,[주연] 러셀 크로우(더 맨) | 카렌 피스토리우스(레이첼) | 가브리엘 베이트먼(카일)
3,감바의 대모험,https://www.kobis.or.kr/common/mast/movie/2016/10/206f80d1f4694d1984fbf5540ed55e88.jpg,감바의 대모험.jpg,20162504,"장편 | 예술영화 | 애니메이션, 어드벤처 | 93분 52초 | 전체관람가 | 일본",2D,
4,극장판 소드 아트 온라인 -오디널 스케일-,https://www.kobis.or.kr/common/mast/movie/2017/02/a2c59c3cbe2642d283d6e7329bc185dd.jpg,극장판 소드 아트 온라인 -오디널 스케일-.jpg,20170509,"장편 | 일반영화 | 애니메이션, SF, 액션 | 121분 4초 | 12세이상관람가 | 일본","2D,4D",[주연] 마츠오카 요시츠구(키리토 역) | 토마츠 하루카(아스나 역) | 이토 카나에
5,고스트 라이더 : 복수의 화신,https://www.kobis.or.kr/common/mast/movie/2012/02/01f7285df0154133ba8c454657a7bca2.jpg,고스트 라이더 - 복수의 화신.jpg,20113890,"장편 | 일반영화 | 액션, 판타지, 스릴러 | 95분 0초 | 15세이상관람가 | 미국","필름,2D,3D,4D",[주연] 니콜라스 케이지(자니 블레이즈/고스트 라이더) | 이드리스 엘바(모로 )
6,우먼 인 블랙,https://www.kobis.or.kr/common/mast/movie/2012/02/2baae3ed18d140328937649384a552c3.jpg,우먼 인 블랙.jpg,20113975,"장편 | 일반영화 | 드라마, 공포(호러), 스릴러 | 95분 0초 | 15세이상관람가 | 영국","필름,2D",[주연] 다니엘 래드클리프(아서 킵스 ) | 시아란 힌즈(미스터 데일리 ) | 자넷 맥티어(데일리스 와이프 )
7,정무문 : 100대 1의 전설,https://www.kobis.or.kr/upload/up_img/2011/05/mov_0CG332_20110525172417_1.JPG,정무문 - 100대 1의 전설.jpg,20110660,"장편 | 일반영화 | 액션 | 106분 0초 | 15세이상관람가 | 홍콩, 중국","필름,2D",[주연] 견자단 | 황추생 | 서기 | 곽사연
8,케로로 더 무비 5: 기적의 사차원섬,https://www.kobis.or.kr/upload/up_img/cleansing/66/mov_20100166_3.jpg,케로로 더 무비 5- 기적의 사차원섬.jpg,20100166,"장편 | 일반영화 | 애니메이션, 어드벤처, 가족 | 74분 0초 | 전체관람가 | 일본",필름,
9,여교사,https://www.kobis.or.kr/common/mast/movie/2016/12/3702f243190e4e89b127472007701a74.jpg,여교사.jpg,20151181,장편 | 예술영화 | 드라마 | 96분 12초 | 청소년관람불가 | 한국,2D,[주연] 김하늘(효주) | 유인영(혜영) | 이원근(신재하)
