영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
서울의 봄,https://www.kobis.or.kr/common/mast/movie/2023/11/2d4842b5ae044adfaa2769ab51542ab8.jpg,서울의 봄.jpg,20212866,장편 | 일반영화 | 드라마 | 141분 15초 | 12세이상관람가 | 한국,"2D,IMAX",[주연] 황정민(전두광) | 정우성(이태신) | 이성민(참모총장 정상호) | 박해준(9사단장 노태건) | 김성균(헌병감 김준엽)
범죄도시2,https://www.kobis.or.kr/common/mast/movie/2022/05/fe202fdd479043af848b5d9292772df9.jpg,범죄도시2.jpg,20204548,"장편 | 일반영화 | 범죄, 액션 | 105분 55초 | 15세이상관람가 | 한국","2D,IMAX",[주연] 마동석(마석도) | 손석구(강해상) | 최귀화(전일만)
파묘,https://www.kobis.or.kr/common/mast/movie/2024/02/febb838d186b46878ca5467759930333.jpg,파묘.jpg,20234675,"장편 | 일반영화 | 미스터리, 공포(호러) | 133분 50초 | 15세이상관람가 | 한국","2D,4D,ScreenX",[주연] 최민식(김상덕) | 김고은(이화림) | 유해진(고영근) | 이도현(윤봉길)
아바타: 물의 길,https://www.kobis.or.kr/common/mast/movie/2022/11/87e132235b634767b9c22e8483cfbba7.jpg,아바타- 물의 길.jpg,20225061,"장편 | 일반영화 | 액션, 어드벤처, SF, 스릴러 | 192분 24초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 조 샐다나 | 샘 워싱턴 | 시고니 위버 | 스티븐 랭 | 케이트 윈슬렛
범죄도시3,https://www.kobis.or.kr/common/mast/movie/2023/05/71a80a4008364e119471cb94723af423.jpg,범죄도시3.jpg,20226411,"장편 | 일반영화 | 범죄, 액션 | 105분 7초 | 15세이상관람가 | 한국","2D,4D,IMAX",[주연] 마동석(마석도) | 이준혁(주성철) | 아오키 무네타카(리키) | 마동석 | 김병탁
탑건: 매버릭,https://www.kobis.or.kr/common/mast/movie/2022/06/fa28d4efd4ed492f86cd892ed31913e1.jpg,탑건- 매버릭.jpg,20194376,장편 | 일반영화 | 액션 | 130분 3초 | 12세이상관람가 | 미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 톰 크루즈 | 마일즈 텔러 | 제니퍼 코넬리
한산: 용의 출현,https://www.kobis.or.kr/common/mast/movie/2022/07/6ecaea887d6242b3a27c11ce960ed45b.jpg,한산- 용의 출현.jpg,20209343,"장편 | 일반영화 | 액션, 드라마 | 129분 30초 | 12세이상관람가 | 한국","2D,4D,IMAX,ScreenX",[주연] 박해일(이순신) | 변요한(와키자카 야스하루) | 안성기(어영담) | 손현주(원균) | 김성규(준사) | 김성균(가토) | 김향기(보름) | 옥택연(임준영) | 공명(이억기) | 박지환(나대용) | 조재윤(마나베 사마노조) | 김효주(기생10)
엘리멘탈,https://www.kobis.or.kr/common/mast/movie/2023/05/1d8f3d4b27d8479e9250de7c217028ec.jpg,엘리멘탈.jpg,20228930,장편 | 일반영화 | 애니메이션 | 109분 9초 | 전체관람가 | 미국,"2D,3D,4D,DOLBYCINEMA",
공조2: 인터내셔날,https://www.kobis.or.kr/common/mast/movie/2022/08/c43e85bfb89643a2ba7200bfb981a8b2.jpg,공조2- 인터내셔날.jpg,20215601,"장편 | 일반영화 | 액션, 코미디 | 128분 31초 | 15세이상관람가 | 한국",2D,[주연] 현빈 | 유해진 | 임윤아 | 다니엘 헤니 | 진선규
닥터 스트레인지: 대혼돈의 멀티버스,https://www.kobis.or.kr/common/mast/movie/2022/05/813d356d27064f2ab6eff657cbd843ed.jpg,닥터 스트레인지- 대혼돈의 멀티버스.jpg,20212855,"장편 | 일반영화 | 액션, 어드벤처, 판타지 | 126분 21초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 베네딕트 컴버배치(닥터 스트레인지) | 엘리자베스 올슨(완다 막시모프/스칼렛 위치) | 베네딕트 웡(웡) | 레이첼 맥아담스(크리스틴 팔머) | 치웨텔 에지오포(모르도 남작) | 소치틀 고메즈(아메리카 차베즈)
스즈메의 문단속,https://www.kobis.or.kr/common/mast/movie/2023/01/493d957e6b894177bb380f3d83a7eed0.jpg,스즈메의 문단속.jpg,20226270,장편 | 예술영화 | 애니메이션 | 121분 47초 | 12세이상관람가 | 일본,"2D,4D,IMAX,DOLBYCINEMA",[주연] 하라 나노카 | 마츠무라 호쿠토
밀수,https://www.kobis.or.kr/common/mast/movie/2023/06/a68cc44d22d84acf9d861d5c931a4254.jpg,밀수.jpg,20218541,장편 | 일반영화 | 액션 | 129분 3초 | 15세이상관람가 | 한국,"2D,4D,IMAX,ScreenX",[주연] 김혜수(조춘자) | 염정아(엄진숙) | 조인성(권 상사) | 박정민(장도리) | 김종수(이장춘) | 고민시(고옥분)
더 퍼스트 슬램덩크,https://www.kobis.or.kr/common/mast/movie/2023/12/9023413652504fb5ab723bbe1ef992a6.png,더 퍼스트 슬램덩크.jpg,20228555,장편 | 일반영화 | 애니메이션 | 124분 26초 | 12세이상관람가 | 일본,"2D,IMAX,DOLBYCINEMA",
노량: 죽음의 바다,https://www.kobis.or.kr/common/mast/movie/2023/12/5446a0c07b3d4f46857f65ad23b713f8.jpg,노량- 죽음의 바다.jpg,20203702,"장편 | 일반영화 | 사극, 액션 | 152분 32초 | 12세이상관람가 | 한국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 김윤석(이순신) | 백윤식(시마즈) | 정재영(진린) | 허준호(등자룡)
헌트,https://www.kobis.or.kr/common/mast/movie/2022/08/20e04b48d00f4f97913a1325d3eb37e2.jpg,헌트.jpg,20211792,"장편 | 일반영화 | 액션, 드라마 | 125분 15초 | 15세이상관람가 | 한국",2D,[주연] 이정재(박평호) | 정우성(김정도) | 전혜진(방주경) | 허성태(장철성) | 고윤정(조유정) | 김종수(안부장) | 정만식(양보성)
가디언즈 오브 갤럭시: Volume 3,https://www.kobis.or.kr/common/mast/movie/2023/05/1073d2e8cca44222a3573d0c25b1c581.jpg,가디언즈 오브 갤럭시- Volume 3.jpg,20231496,장편 | 일반영화 | 액션 | 149분 51초 | 12세이상관람가 | 미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 크리스 프랫 | 조 샐다나 | 데이브 바티스타 | 카렌 길런 | 폼 클레멘티에프 | 빈 디젤 | 브래들리 쿠퍼 | 윌 폴터
미션 임파서블: 데드 레코닝 PART ONE,https://www.kobis.or.kr/common/mast/movie/2023/06/fbc864b8a3f64ee98e22372534a81cec.jpg,미션 임파서블- 데드 레코닝 PART ONE.jpg,20232631,"장편 | 일반영화 | 액션, 스릴러, 어드벤처 | 163분 13초 | 15세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 톰 크루즈 | 헤일리 앳웰 | 빙 라메스 | 사이먼 페그 | 레베카 퍼거슨 | 바네사 커비 | 에사이 모랄레스 | 폼 클레멘티에프
콘크리트 유토피아,https://www.kobis.or.kr/common/mast/movie/2023/08/3b27ff34ec6d4214ad7aa177bfabbcba.jpg,콘크리트 유토피아.jpg,20204264,"장편 | 일반영화 | 드라마, 기타 | 129분 59초 | 15세이상관람가 | 한국","2D,4D,IMAX",[주연] 이병헌 | 박서준 | 박보영
웡카,https://www.kobis.or.kr/common/mast/movie/2024/01/909ae4c66c9a439f98f90afe60ec42fb.jpg,웡카.jpg,20236180,"장편 | 일반영화 | 판타지, 드라마 | 116분 5초 | 전체관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 티모시 샬라메 | 칼라 레인 | 올리비아 콜맨 | 톰 데이비스 | 휴 그랜트 | 샐리 호킨스
올빼미,https://www.kobis.or.kr/common/mast/movie/2022/11/5a155610a51a4c0087c5e421110484ea.jpg,올빼미.jpg,20227762,장편 | 일반영화 | 스릴러 | 118분 13초 | 15세이상관람가 | 한국,2D,[주연] 류준열(천경수) | 유해진(인조) | 최무성(이형익)
영웅,https://www.kobis.or.kr/common/mast/movie/2022/12/13760668f5644b739d29dd80d4b00ad8.jpg,영웅.jpg,20196478,"장편 | 일반영화 | 드라마, 뮤지컬 | 120분 26초 | 12세이상관람가 | 한국",2D,[주연] 정성화(안중근) | 김고은(설희) | 나문희(조마리아) | 조재윤 | 배정남 | 이현우(유동하) | 박진주
오펜하이머,https://www.kobis.or.kr/common/mast/movie/2023/07/6ceb3200629f42c8bbac3fedf994a5ff.jpg,오펜하이머.jpg,20226431,"장편 | 일반영화 | 스릴러, 드라마 | 180분 9초 | 15세이상관람가 | 미국","2D,IMAX,DOLBYCINEMA",[주연] 킬리언 머피 | 에밀리 블런트 | 맷 데이먼 | 로버트 다우니 주니어 | 플로렌스 퓨 | 조쉬 하트넷 | 케이시 애플렉 | 라미 말렉 | 케네스 브래너
쥬라기 월드: 도미니언,https://www.kobis.or.kr/common/mast/movie/2022/05/caf1c106f06546e18c5714398a844e24.jpg,쥬라기 월드- 도미니언.jpg,20206061,"장편 | 일반영화 | 액션, 어드벤처 | 146분 57초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 크리스 프랫 | 브라이스 달라스 하워드 | 드완다 와이즈 | 로라 던 | 제프 골드블럼 | 샘 닐
