Image_name,Color 1,Color 1 Ratio,Color 2,Color 2 Ratio,Color 3,Color 3 Ratio,Color 4,Color 4 Ratio,Color 5,Color 5 Ratio
#아이엠히어.jpg,16777215,32.26,14854576,28.46,8614496,12.08,6076362,11.7,11818079,7
0.0MHz.jpg,12235440,54.9,1775380,42.88,12202281,1.52,7231830,0.67,13269100,0.02
100 울프 푸들이 될 순 없어.jpg,1056325,45.42,5674995,22.71,16777215,15.78,16734899,3.67,4041157,2.99
1919 유관순.jpg,0,71.17,9006408,13.59,4606549,7.25,16777215,3.8,15770712,2.46
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉.jpg,0,74.48,5066061,13.75,16777215,10.73,10395294,1.04,0,
2022 영탁 단독 콘서트 -탁쇼-.jpg,535,47.61,16777215,22.36,724044,19.9,7301760,7.34,1118665,1.48
21 브릿지- 테러 셧다운.jpg,0,52.92,2910364,26.26,16777215,10.19,11050126,4.8,7519732,3.97
23 아이덴티티.jpg,131588,76.22,11192009,12.36,4869709,10.75,10979444,0.64,16776910,0.02
3000년의 기다림.jpg,8683372,40.07,0,19.84,16777215,19.06,5320733,10.34,14587745,4.71
3일의 휴가.jpg,2757916,35.16,6995708,34.55,5529191,11.77,16777215,6.32,7154010,5.44
47 미터.jpg,333855,84.09,7044487,9.58,16777215,3.15,9396366,1.66,8900583,1.01
47미터 2.jpg,266519,44.85,6532023,44.03,16777215,5.3,7929871,4.01,1922914,1.61
5.18 힌츠페터 스토리.jpg,13611642,78.89,2039575,14.32,7628363,5.26,12741204,1.46,13181986,0.07
5일의 마중.jpg,16777215,42.61,2,31.6,6305587,15.67,9012353,9.59,10118170,0.48
60만번의 트라이.jpg,4220979,52.88,0,13.53,16773376,10.71,16777215,9.45,4083278,5.24
7광구.jpg,0,61.06,5457988,26.15,16777215,7.58,11506565,5.16,6719135,0.02
7년-그들이 없는 언론.jpg,16250612,68.83,1839375,14.66,7691603,13.38,11351075,3.12,14583931,0.01
7년의 밤.jpg,0,66.83,2705006,15.56,6837832,10.87,15066856,4.65,7183811,2.02
7번째 아들.jpg,65542,68.35,9013389,16.03,16777215,12.92,6171945,1.28,15699495,0.52
800.jpg,1382156,60.42,11117427,30.12,4326660,4.29,16620855,2.64,6181167,1.4
80일간의 세계일주.jpg,4168139,41.67,16777215,26.66,6507829,6.57,8262,6.37,16760835,4.44
9명의 번역가.jpg,262145,80.91,4934734,13.02,14737121,6.01,11306879,0.06,7620384,0
B급 며느리.jpg,14737632,39.02,4423147,37.98,16741120,9.83,2105376,4.59,16752317,1.55
B컷.jpg,65793,62.73,2836059,11.07,14987419,9.44,15725556,8.39,5705491,4.68
DC 리그 오브 슈퍼-펫.jpg,16777215,39.13,327938,23.41,6266326,14.46,10450522,13.3,11016475,5.7
DMZ 동물 특공대.jpg,16777215,30.46,4279617,14.88,6392919,9.97,8837887,9.17,0,8.35
F20.jpg,1645601,74.56,7307151,17.58,16777215,5.87,5254164,1.75,8157266,0.13
G-포스- 기니피그 특공대.jpg,16777215,56.18,0,21.39,9145227,10.08,15538980,5.96,14079269,4.54
I AM.jpg,16117460,47.79,2299675,31.31,10779736,18.08,15618203,2.48,15701684,0.24
MB의 추억.jpg,16777215,30.45,1380113,23.03,14295335,18.73,16757174,15.21,9407886,8.44
n번째 이별 중.jpg,1510169,46.57,16777215,26.86,10788512,11.1,14642028,6.73,15519384,4.75
가가린.jpg,31421,48.39,12884397,22.1,16751990,16.69,4850944,10.49,16604986,1.07
가구야공주 이야기.jpg,16710395,83.12,5990523,8.08,131586,4.5,15971277,3.94,15428769,0.34
