Unnamed: 0,이미지 이름,text_rate,title_rate,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9,part_10,part_11,part_12
0,#살아있다.jpg,0.347308431847315,0.346463466742629,0,0,0,0,0,0,1,1,1,1,1,1
1,007 노 타임 투 다이.jpg,0.159258199581298,0.10151011863224,1,1,0,1,1,0,0,0,0,0,0,0
2,007 스카이폴.jpg,0.712698905266787,0.0976605465046117,0,0,0,0,0,0,0,0,0,1,1,1
3,007 스펙터.jpg,0.165074728539508,0.0660985122056912,1,1,1,1,1,1,0,0,0,0,0,0
4,100일 동안 100가지로 100퍼센트 행복찾기.jpg,0.138134705332086,0.0939198628001247,0,0,0,0,0,0,1,1,1,0,0,0
5,12 솔져스.jpg,0.348351371759376,0.0937006612818342,0,1,0,0,1,0,0,0,0,0,0,0
6,127시간.jpg,0.359353078721746,0.072150342080194,1,1,1,1,1,1,0,0,0,0,0,0
7,13시간.jpg,0.227938178318232,0.0388000727470222,0,1,1,0,0,0,0,0,0,0,0,0
8,1917.jpg,0.550118320930589,0.275704352819284,0,0,0,0,0,0,1,1,1,1,1,1
9,1947 보스톤.jpg,0.172882147024504,0.059412679891093,0,0,0,0,0,0,1,1,1,0,0,0
10,1980.jpg,0.259248538011696,0.147399610136452,0,0,0,0,0,0,1,1,1,0,0,0
11,"1986 그 여름, 그리고 고등어통조림.jpg",0.147078783151326,0.114473912289825,0,0,0,0,0,0,0,0,0,0,1,1
12,1987.jpg,0.599788639557814,0.294561826560962,1,1,1,1,1,1,0,0,0,0,0,0
13,19곰 테드 2.jpg,0.235955056179775,0.0986248825903612,0,0,0,0,0,0,0,0,0,1,1,1
14,19곰 테드.jpg,0.286567016328387,0.0920222194538793,0,0,0,0,0,0,1,1,1,0,0,0
15,1급기밀.jpg,0.206911010598008,0.0499186148788665,1,1,1,0,1,0,0,0,0,0,0,0
16,22 블렛.jpg,0.330844167100018,0.0779077829779858,1,1,1,0,0,0,0,0,0,0,0,0
17,26년.jpg,0.426585165587082,0.249612261654958,1,1,1,1,1,1,0,0,0,0,0,0
18,300- 제국의 부활.jpg,0.235725434814925,0.109720529210644,1,1,1,1,1,1,0,0,0,0,0,0
19,30일.jpg,0.459090371752994,0.239384041063929,1,1,1,1,1,1,0,0,0,0,0,0
20,33.jpg,0.298410327983252,0.106924633635729,0,0,0,0,0,0,1,1,1,1,1,1
21,355.jpg,0.428613969441847,0.23476613657624,0,0,0,0,0,0,1,1,1,1,1,1
22,45년 후.jpg,0.157158231529959,0.0489150668993601,0,0,0,0,0,0,0,0,0,0,1,1
23,48미터.jpg,0.151493282775773,0.0656595926854627,0,0,0,0,0,0,1,1,1,1,1,1
24,4등.jpg,0.187140947940948,0.0757283605283605,0,1,1,0,0,1,0,0,0,0,0,0
25,50-50.jpg,0.376346237117866,0.08846453624318,0,1,1,0,1,1,0,0,0,0,0,0
26,500일의 썸머.jpg,0.407803358992302,0.0331560531840448,0,1,1,0,1,1,0,0,0,0,0,0
27,50가지 그림자- 심연.jpg,0.0878218862004922,0.052853232259423,1,1,0,0,0,0,0,0,0,0,0,0
28,50가지 그림자- 해방.jpg,0.0871969251598881,0.048623358808544,1,1,1,0,0,0,0,0,0,0,0,0
29,577 프로젝트.jpg,0.372655552627329,0.090813584329639,1,1,1,1,1,1,0,0,0,0,0,0
30,5백만불의 사나이.jpg,0.283806993006993,0.132899300699301,1,1,0,0,0,0,0,0,0,0,0,0
31,65.jpg,0.162521067336297,0.0521249508106348,1,1,1,0,0,0,0,0,0,0,0,0
32,6번 칸.jpg,0.114543398904707,0.0147984085968582,0,1,0,0,1,0,0,0,0,0,0,0
33,7번방의 선물.jpg,0.335389907748022,0.147869010831949,0,0,0,1,1,1,1,1,0,0,0,0
34,7번째 내가 죽던 날.jpg,0.215502270494798,0.113313785982684,1,1,1,1,1,1,0,0,0,0,0,0
35,7호실.jpg,0.926576534576535,0.777782750582751,1,1,1,1,1,1,1,1,1,1,1,1
36,82년생 김지영.jpg,0.180408421052632,0.0821052631578947,1,1,1,0,0,0,0,0,0,0,0,0
37,8인- 최후의 결사단.jpg,0.147251869328041,0.0648728607272591,1,1,1,0,0,0,0,0,0,0,0,0
38,A-특공대.jpg,0.316065922381712,0.111146553251816,1,1,1,0,0,0,0,0,0,0,0,0
39,GROW- 인피니트의 리얼 청춘 라이프.jpg,0.472345890697122,0.291868742068784,1,1,1,1,1,1,0,0,0,0,0,0
40,Mr.아이돌.jpg,0.217562064156206,0.164083682008368,1,1,1,1,1,1,0,0,0,0,0,0
41,PMC- 더 벙커.jpg,0.211013990448477,0.0797826948391629,1,1,0,1,1,0,0,0,0,0,0,0
42,R.I.P.D. - 알.아이.피.디..jpg,0.297480105290802,0.0963649022517818,1,1,1,1,1,1,0,0,0,0,0,0
43,R2B- 리턴투베이스.jpg,0.723362464099095,0.382996475426933,1,1,1,1,1,1,1,1,1,0,0,0
44,TAR 타르.jpg,0.28625732703128,0.0875043875155978,1,1,1,1,1,1,0,0,0,0,0,0
45,국가대표 2.jpg,0.268615419970125,0.0637511969052817,1,1,1,0,0,0,0,0,0,0,0,0
46,모가디슈.jpg,0.131604539494821,0.0612428121197585,1,1,1,0,0,0,0,0,0,0,0,0
47,물괴.jpg,0.182754625473956,0.093325597288878,0,0,0,0,0,0,0,1,0,0,1,0
48,미쓰백.jpg,0.275437976448182,0.127656206282121,0,1,1,0,1,1,0,0,0,0,0,0
49,바람 바람 바람.jpg,0.349105447816363,0.113845088554041,0,0,0,0,1,0,0,1,0,0,1,0
