이미지 이름,text_rate,title_rate,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9,part_10,part_11,part_12
#아이엠히어.jpg,0.180032190342897,0.045629811056683,0,0,0,0,0,0,0,0,0,1,1,1
0.0MHz.jpg,0.140320168216894,0.0742391529545181,0,0,0,0,0,0,0,0,0,1,1,1
100 울프 푸들이 될 순 없어.jpg,0.1942401960784313,0.1363898500576701,0,0,0,0,0,0,1,1,1,1,1,1
1919 유관순.jpg,0.275486101744043,0.1018489174433512,0,0,0,0,0,0,1,1,1,1,1,1
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉.jpg,0.2563316479443592,0.1311857969754512,0,0,0,1,1,1,0,1,0,0,0,0
2022 영탁 단독 콘서트 -탁쇼-.jpg,0.30157877011578,0.1333557853345955,1,1,1,0,0,0,0,0,0,0,0,0
21 브릿지- 테러 셧다운.jpg,0.240699523052464,0.0807990153341196,1,1,1,1,1,1,0,0,0,0,0,0
23 아이덴티티.jpg,0.146637866129763,0.068232028550388,1,1,1,0,0,0,0,0,0,0,0,0
3000년의 기다림.jpg,0.0917663968557127,0.0402339312686464,0,0,0,1,1,1,0,0,0,0,0,0
3일의 휴가.jpg,0.154435,0.0721564285714285,0,0,0,0,0,0,1,1,1,1,1,1
47 미터.jpg,0.289280328815679,0.0868278903788068,0,1,0,0,1,0,0,0,0,0,0,0
47미터 2.jpg,0.326209120598917,0.1059327887687329,0,1,1,0,1,1,0,0,0,0,0,0
5.18 힌츠페터 스토리.jpg,0.609755732335049,0.0941980970207456,0,0,0,0,0,0,1,1,1,0,0,0
5일의 마중.jpg,0.252742153458094,0.1244957167256598,0,0,0,1,0,0,1,0,0,1,0,0
60만번의 트라이.jpg,0.527550271950272,0.1832770784770784,1,1,1,1,1,1,0,0,0,0,0,0
7광구.jpg,0.187094405594406,0.067183916083916,1,1,1,0,0,0,0,0,0,0,0,0
7년-그들이 없는 언론.jpg,0.803678475830577,0.403013698630137,1,1,0,1,1,0,1,1,0,1,1,0
