Model,Accuracy,Precision,Recall,F1-score,,3분류 오버
LightGBM,0.749667111,0.689595692,0.749667111,0.711881696,,
XGBoost,0.744340879,0.67991815,0.744340879,0.701870951,,
CatBoost,0.748335553,0.703948901,0.748335553,0.717084439,,
Hard-Voting,0.749667111,0.693102221,0.749667111,0.712102726,,
Soft-Voting,0.750998668,0.682255542,0.750998668,0.707121014,,
,,,,,,
,,,,,,
,,,,,,
Model,Accuracy,Precision,Recall,F1-score,,2분류 오버
LightGBM,0.666666667,0.666770261,0.666666667,0.666679616,,
XGBoost,0.659033079,0.659473633,0.659033079,0.658980093,,
CatBoost,0.697201018,0.697230716,0.697201018,0.697102929,,
Hard-Voting,0.669211196,0.669663357,0.669211196,0.669159791,,
Soft-Voting,0.65648855,0.656591749,0.65648855,0.656501895,,
