iter	MultiClass
0	1.094309456
1	1.090199409
2	1.086375907
3	1.082310576
4	1.078459299
5	1.075178215
6	1.071275721
7	1.067347249
8	1.063665709
9	1.060054414
10	1.056298567
11	1.052636432
12	1.049126503
13	1.045773183
14	1.042424974
15	1.039356574
16	1.036177233
17	1.032795119
18	1.029969359
19	1.026703391
20	1.023465973
21	1.020814171
22	1.018241814
23	1.015440639
24	1.012635609
25	1.009525395
26	1.006855927
27	1.004205789
28	1.001560838
29	0.9989794371
30	0.996081971
31	0.9932806391
32	0.9905479055
33	0.9882008708
34	0.9855548364
35	0.9830916405
36	0.9803842704
37	0.9778733357
38	0.9758154048
39	0.9736319708
40	0.9717327236
41	0.9693435283
42	0.9668741107
43	0.9647551868
44	0.9626696705
45	0.9607601202
46	0.9586538132
47	0.9567140322
48	0.9545924189
49	0.9524738512
50	0.950163804
51	0.9483382622
52	0.9464289267
53	0.9444279932
54	0.9425985939
55	0.9407304299
56	0.9387763659
57	0.9367846013
58	0.9354168581
59	0.9334473937
60	0.9316474904
61	0.9297714166
62	0.9281255005
63	0.9264729871
64	0.9246756477
65	0.9228730405
66	0.9213634106
67	0.9196179669
68	0.9180580132
69	0.9164608651
70	0.9147819856
71	0.9132315975
72	0.9114354612
73	0.9098245357
74	0.9083769999
75	0.9069941969
76	0.9054506596
77	0.9038816535
78	0.9027025407
79	0.9013771984
80	0.8996927395
81	0.8983086659
82	0.8967206384
83	0.8950316095
84	0.8934332669
85	0.8921289772
86	0.8906352889
87	0.8894374229
88	0.88784873
89	0.886550738
90	0.8854919261
91	0.8842111841
92	0.8829158801
93	0.8816839908
94	0.8803512062
95	0.8791978079
96	0.8780218623
97	0.8767638218
98	0.8754972857
99	0.8742294456
100	0.8730222312
101	0.871861112
102	0.8709532011
103	0.869963529
104	0.8685031224
105	0.8672091393
106	0.866067333
107	0.8648807441
108	0.8637393319
109	0.8624332287
110	0.8614346421
111	0.8602308685
112	0.8592039979
113	0.8581367829
114	0.8570033519
115	0.8559336802
116	0.8550627865
117	0.854026381
118	0.8526860498
119	0.851536898
120	0.8504520837
121	0.8493943328
122	0.8483973412
123	0.8474535602
124	0.8463509915
125	0.8455603053
126	0.8445602362
127	0.8436944118
128	0.8426267952
129	0.8415815644
