iter	Passed	Remaining
0	297	148584
1	398	99233
2	502	83305
3	604	74970
4	705	69828
5	815	67160
6	932	65643
7	1063	65422
8	1189	64872
9	1311	64270
10	1413	62827
11	1516	61652
12	1613	60435
13	1707	59277
14	1799	58188
15	1890	57181
16	1983	56354
17	2074	55549
18	2167	54872
19	2257	54191
20	2353	53685
21	2450	53244
22	2543	52756
23	2636	52298
24	2732	51924
25	2823	51478
26	2918	51134
27	3022	50955
28	3127	50797
29	3226	50554
30	3322	50263
31	3413	49926
32	3509	49663
33	3597	49309
34	3690	49031
35	3784	48776
36	3874	48489
37	3974	48326
38	4067	48078
39	4162	47871
40	4258	47676
41	4353	47471
42	4450	47302
43	4544	47102
44	4643	46947
45	4736	46745
46	4833	46582
47	4924	46371
48	5024	46249
49	5131	46187
50	5224	45994
51	5315	45795
52	5407	45603
53	5498	45416
54	5588	45216
55	5678	45021
56	5771	44858
57	5862	44673
58	5956	44524
59	6048	44352
60	6144	44218
61	6234	44046
62	6330	43909
63	6424	43769
64	6520	43639
65	6610	43470
66	6705	43333
67	6795	43174
68	6888	43028
69	6983	42896
70	7075	42751
71	7209	42859
72	7322	42832
73	7420	42718
74	7511	42565
75	7602	42413
76	7697	42284
77	7792	42156
78	7881	41999
79	7973	41863
80	8062	41707
81	8154	41569
82	8246	41432
83	8337	41292
84	8451	41262
85	8566	41238
86	8666	41142
87	8763	41031
88	8869	40959
89	8968	40854
90	9073	40780
91	9218	40881
92	9332	40841
93	9433	40744
94	9563	40771
95	9680	40740
96	9795	40695
97	9903	40626
98	10003	40517
99	10111	40444
100	10211	40340
101	10311	40236
102	10410	40124
103	10516	40042
104	10617	39941
105	10716	39834
106	10816	39726
107	10916	39623
108	11011	39498
109	11113	39402
110	11222	39328
111	11317	39208
112	11421	39115
113	11516	38994
114	11613	38880
115	11714	38778
116	11807	38652
117	11909	38554
118	12015	38468
119	12114	38362
120	12212	38252
121	12306	38130
122	12402	38015
123	12502	37909
124	12597	37793
125	12691	37672
126	12786	37554
127	12883	37441
128	12984	37344
129	13097	37276
130	13213	37218
131	13329	37162
132	13429	37056
133	13532	36963
